asin;description;dateTime;date;country;currency;price
B0863LTD6C;"
Máscara KN95, Paquete de 10, respirador FFP2, máscaras Antipolvo efectivamente aisladas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;22.79
B085VV4VRV;"
FENBO EU Máscara FFP2, Paquete de 20, respirador N95, máscaras Antipolvo efectivamente aisladas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;29.0
B085TBDXWY;"
BENKS [ 5 Piezas ] Anti P- M-2. 5 Pro -tec -ción Contra el Pol -vo y la Conta- mi- na- ción – RES M
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;36.54
B085KZX7PP;"
2
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;9.9
B085GF4YC9;"
Máscara anticontaminación KN95 con Filtro FFP2 95% de bacterias, protección PM2.5 contra Polvo, anticontaminación Antipolvo, Unisex al Aire Libre (Paquete de 5, Blanco)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;15.97
B086394GFB;"
Máscara KN95, Paquete de 5, respirador FFP2, máscaras Antipolvo efectivamente aisladas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;7.0
B085XS35P4;"
Máscara N95, respirador FFP2, máscaras Antipolvo efectivamente aisladas (10)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;23.99
B085KZ6Z9X;"
GreceMonday No FFP3 -FFP2 Protección facial desechable antipolvo, antivaho y antipolución
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;2.93
B085VHH6VX;"
FENBO EU Máscara FFP2, Paquete de 15, respirador N95, máscaras Antipolvo efectivamente aisladas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;27.0
B083TRMHW7;"
Froomer Máscara Facial, máscara de carbón Activado Anti PM2.5 Máscaras de Filtro con válvula de respiración 3.0 para Ciclismo MTB
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;0.98
B085FWHPKC;"
10 máscaras anticontaminación N95 máscara de filtración de Aire, Desechables, Antipolvo, con Cubierta Ajustable para la Boca para Deportes al Aire Libre, Fumar, Ciclismo, Viajes
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;19.66
B0868N5G7Y;"
OWSOO 10PCS Máscaras FFP2, 95% de Filtración
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;17.97
B0863HCSQZ;"
KETONG 50 Partes Desechables Boca Cara Facial Polvo Morph Mujer Hombre Gancho respiración por la Boca Cara del Filtro Protector bucal 3-Capa no Tejida,50 Piezas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;22.0
B085G546KQ;"
SHENGNONG Respirador de partículas 2020 máscaras 10 máscaras KN95 antivaho, a prueba de polvo, transpirable y PM2.5 máscaras desechables para hombres y mujeres
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;8.49
B085CBN394;"
Protección facial FFP2 - aleatorio verde amarillo - no KN95 / ffp3-1pcs
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;3.86
B07FP8TWLS;"
ffp2 Máscaras n95 Máscara antipolvo pm2.5 Máscara de filtro Respirador moldeado anticontaminación Máscaras desechables Máscara de pliegue plano, paquete de 1
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;7.53
B08621J96L;"
Pet outdoor KN95 pm2.5 ffp2 para hombres y mujeres adultos 20Pcs
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;89.99
B08681NS5S;"
200 piezas N-95 FFP-2
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;48.99
B0862853ZQ;"
GUIPING 10 Paquetes máscara de Alto Grado N95, máscaras FFP3 Mascarilla con la Cabeza de la Correa Perfecta for la construcción al Aire Libre y de Uso Diario (Color : A, Size : B)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;19.0
B084P1DCFK;"
Máscaras faciales Desechables de 3 Capas con Bucle para la Oreja, Talla única, 10 máscaras en Bolsa con Cierre hermético
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;6.0
B085DY2Z3D;"
Máscara N95, Máscaras Respiratorias Particuladas - Clip De Nariz Ajustable, Almohadilla Nasal Cómoda (5 packs)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;10.99
B0854JCTVW;"
Mascarilla de protección respiratoria para KN95/F95/N95, máscara facial quirúrgica, FFP2, máscara facial con patillas para las orejas, protección contra la suciedad, máscara facial quirúrgica
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;9.6
B0868R5WSC;"
Sweetlover Mascarilla FFP2 Máscara,FFP2 filtrando 95% partículas, máscaras Antipolvo Transpirable KN95, mascarillas con elásticos para Las Orejas, certificación CE
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;5.99
B084JHCHZT;"
Mascarilla desechable, con 3 capas y elásticos cajas con 10 piezas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;7.99
B085DKCP3D;"
Paquete de 10 máscaras Desechables, máscara de Filtro de Triple Capa con bucles para los oídos, máscara Antipolvo, máscara de Pintura, Media máscara.
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;3.89
B08533PX22;"
Máscara Antipolvo, Máscara máscara de algodón Lavable máscara de Boca máscara de Polvo máscara Plegable con válvula, Cubierta de mascarilla purificadora de Aire Filtro de Boca Antipolvo
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;4.88
B085Y7S4TW;"
10 piezas desechables KN95 máscara boca filtración facial algodón boca mask filtro anti-Dus contra gota
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;25.08
B085BPJNBF;"
Diadema De Grado FFP2 Máscara Redonda Máscara De Polvo No Tejida Anti Pm2.5 Respiración De Bicicleta Máscara De Cara Máscaras De Seguridad (1, Azul)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;9.99
B085NV86DX;"
GreceMonday FFP2 Protección facial desechable antipolvo, antivaho y antipolución 1 pieza
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;6.66
B0853188TV;"
DGJEL 6 Piezas Filtro de máscara de Polvo Anti PM2.5 Contaminación del Aire Mascarilla de Boca Inserto de Carbono Anti Polvo de Invierno Máscaras Reutilizables lavadas Hombres Mujeres, 6 Piezas
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;12.29
B085Q3ZHFC;"
Hotportgift [9 Paquetes] Mascarilla Mascarilla Antipolución Mascarilla Bucal Unisex, Mascarilla De Algodón Negra Reutilizable Lavada, Se Puede Utilizar Repetidamente
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;8.98
B0867VBBV2;"
10 PCS FFP2 Máscara 5 Capas 94% Filtración Mask desechable Máscara de seguridad de tela no tejida suave y transpirable para partículas de polvo Contaminación Uso diario Sitio de construcción
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;22.01
B085TC1TD4;"
Máscara desechable de Tres Capas, Transpirable, a Prueba de Polvo, Adecuada para familias y niños. (10 Piezas)
";2020-03-29T21:31:58.978378;2020-03-29;Spain;Euro;8.0
