dateTime;country;total_cases;new_cases;total_deaths;new_deaths;total_recovered;active_cases;critical_cases;cases_per_million;deaths_per_million
2020-03-29T21:32:14.621067;USA;139745;16167;2448;228;4435;132862;2948;422;7
2020-03-29T21:32:14.621067;Italy;97689;5217;10779;756;13030;73880;3906;1616;178
2020-03-29T21:32:14.621067;Spain;80031;6796;6802;820;14709;58520;4165;1712;145
2020-03-29T21:32:14.621067;Germany;62095;4400;525;92;9211;52359;1979;741;6
2020-03-29T21:32:14.621067;France;40174;2599;2606;292;7202;30366;4632;615;40
2020-03-29T21:32:14.621067;Iran;38309;2901;2640;123;12391;23278;3206;456;31
2020-03-29T21:32:14.621067;UK;19522;2433;1228;209;135;18159;163;288;18
2020-03-29T21:32:14.621067;Switzerland;14829;753;300;36;1595;12934;301;1713;35
2020-03-29T21:32:14.621067;Netherlands;10866;1104;771;132;250;9845;972;634;45
2020-03-29T21:32:14.621067;Belgium;10836;1702;431;78;1359;9046;867;935;37
2020-03-29T21:32:14.621067;S. Korea;9583;105;152;8;5033;4398;59;187;3
2020-03-29T21:32:14.621067;Turkey;9217;1815;131;23;105;8981;568;109;2
2020-03-29T21:32:14.621067;Austria;8774;503;86;18;479;8209;187;974;10
2020-03-29T21:32:14.621067;Canada;6280;625;63;3;508;5709;120;166;2
2020-03-29T21:32:14.621067;Portugal;5962;792;119;19;43;5800;89;585;12
2020-03-29T21:32:14.621067;Norway;4271;256;25;2;7;4239;91;788;5
2020-03-29T21:32:14.621067;Brazil;4256;352;136;22;6;4114;296;20;6
2020-03-29T21:32:14.621067;Israel;4247;628;15;3;132;4100;74;491;2
2020-03-29T21:32:14.621067;Australia;3980;345;16;2;226;3738;23;156;6
2020-03-29T21:32:14.621067;Sweden;3700;253;110;5;16;3574;255;366;11
2020-03-29T21:32:14.621067;Czechia;2775;144;16;5;11;2748;45;259;1
2020-03-29T21:32:14.621067;Ireland;2615;200;46;10;5;2564;59;530;9
2020-03-29T21:32:14.621067;Malaysia;2470;150;35;8;388;2047;73;76;1
2020-03-29T21:32:14.621067;Denmark;2395;194;72;7;1;2322;113;413;12
2020-03-29T21:32:14.621067;Chile;2139;230;7;1;75;2057;7;112;4
2020-03-29T21:32:14.621067;Luxembourg;1950;119;21;3;40;1889;25;3115;34
2020-03-29T21:32:14.621067;Ecuador;1890;67;57;9;3;1830;58;107;3
